Vivado Simulator 2018.2
Time resolution is 1 ps
Time: 0 | PC: 00000000 | Instr: 20080005 | ALU Result: 00000005 | LED: 0000000000000010
Time: 10000 | PC: 00000000 | Instr: 20080005 | ALU Result: 00000005 | LED: 0000000000000001
Time: 15000 | PC: 00000004 | Instr: 2009000a | ALU Result: 0000000a | LED: 0000000000000001
Time: 25000 | PC: 00000008 | Instr: 01095020 | ALU Result: 0000000f | LED: 0000000000000001
Time: 35000 | PC: 0000000c | Instr: 01095022 | ALU Result: fffffffb | LED: 0000000000000001
Time: 45000 | PC: 00000010 | Instr: 01095024 | ALU Result: 00000000 | LED: 0000000000000001
Time: 55000 | PC: 00000014 | Instr: 01095025 | ALU Result: 0000000f | LED: 0000000000000001
Time: 65000 | PC: 00000018 | Instr: 0109502a | ALU Result: 00000001 | LED: 0000000000000001
Time: 75000 | PC: 0000001c | Instr: 200a000f | ALU Result: 0000000f | LED: 0000000000000001
Time: 85000 | PC: 00000020 | Instr: ac0a0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 95000 | PC: 00000024 | Instr: 8c0b0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 105000 | PC: 00000028 | Instr: 11090002 | ALU Result: fffffffb | LED: 0000000000000001
Time: 115000 | PC: 0000002c | Instr: 08000000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 125000 | PC: 00000000 | Instr: 20080005 | ALU Result: 00000005 | LED: 0000000000000001
Time: 135000 | PC: 00000004 | Instr: 2009000a | ALU Result: 0000000a | LED: 0000000000000001
Time: 145000 | PC: 00000008 | Instr: 01095020 | ALU Result: 0000000f | LED: 0000000000000001
Time: 155000 | PC: 0000000c | Instr: 01095022 | ALU Result: fffffffb | LED: 0000000000000001
Time: 165000 | PC: 00000010 | Instr: 01095024 | ALU Result: 00000000 | LED: 0000000000000001
Time: 175000 | PC: 00000014 | Instr: 01095025 | ALU Result: 0000000f | LED: 0000000000000001
Time: 185000 | PC: 00000018 | Instr: 0109502a | ALU Result: 00000001 | LED: 0000000000000001
Time: 195000 | PC: 0000001c | Instr: 200a000f | ALU Result: 0000000f | LED: 0000000000000001
Time: 205000 | PC: 00000020 | Instr: ac0a0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 215000 | PC: 00000024 | Instr: 8c0b0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 225000 | PC: 00000028 | Instr: 11090002 | ALU Result: fffffffb | LED: 0000000000000001
Time: 235000 | PC: 0000002c | Instr: 08000000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 245000 | PC: 00000000 | Instr: 20080005 | ALU Result: 00000005 | LED: 0000000000000001
Time: 255000 | PC: 00000004 | Instr: 2009000a | ALU Result: 0000000a | LED: 0000000000000001
Time: 265000 | PC: 00000008 | Instr: 01095020 | ALU Result: 0000000f | LED: 0000000000000001
Time: 275000 | PC: 0000000c | Instr: 01095022 | ALU Result: fffffffb | LED: 0000000000000001
Time: 285000 | PC: 00000010 | Instr: 01095024 | ALU Result: 00000000 | LED: 0000000000000001
Time: 295000 | PC: 00000014 | Instr: 01095025 | ALU Result: 0000000f | LED: 0000000000000001
Time: 305000 | PC: 00000018 | Instr: 0109502a | ALU Result: 00000001 | LED: 0000000000000001
Time: 315000 | PC: 0000001c | Instr: 200a000f | ALU Result: 0000000f | LED: 0000000000000001
Time: 325000 | PC: 00000020 | Instr: ac0a0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 335000 | PC: 00000024 | Instr: 8c0b0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 345000 | PC: 00000028 | Instr: 11090002 | ALU Result: fffffffb | LED: 0000000000000001
Time: 355000 | PC: 0000002c | Instr: 08000000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 365000 | PC: 00000000 | Instr: 20080005 | ALU Result: 00000005 | LED: 0000000000000001
Time: 375000 | PC: 00000004 | Instr: 2009000a | ALU Result: 0000000a | LED: 0000000000000001
Time: 385000 | PC: 00000008 | Instr: 01095020 | ALU Result: 0000000f | LED: 0000000000000001
Time: 395000 | PC: 0000000c | Instr: 01095022 | ALU Result: fffffffb | LED: 0000000000000001
Time: 405000 | PC: 00000010 | Instr: 01095024 | ALU Result: 00000000 | LED: 0000000000000001
Time: 415000 | PC: 00000014 | Instr: 01095025 | ALU Result: 0000000f | LED: 0000000000000001
Time: 425000 | PC: 00000018 | Instr: 0109502a | ALU Result: 00000001 | LED: 0000000000000001
Time: 435000 | PC: 0000001c | Instr: 200a000f | ALU Result: 0000000f | LED: 0000000000000001
Time: 445000 | PC: 00000020 | Instr: ac0a0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 455000 | PC: 00000024 | Instr: 8c0b0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 465000 | PC: 00000028 | Instr: 11090002 | ALU Result: fffffffb | LED: 0000000000000001
Time: 475000 | PC: 0000002c | Instr: 08000000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 485000 | PC: 00000000 | Instr: 20080005 | ALU Result: 00000005 | LED: 0000000000000001
Time: 495000 | PC: 00000004 | Instr: 2009000a | ALU Result: 0000000a | LED: 0000000000000001
Time: 505000 | PC: 00000008 | Instr: 01095020 | ALU Result: 0000000f | LED: 0000000000000001
Time: 515000 | PC: 0000000c | Instr: 01095022 | ALU Result: fffffffb | LED: 0000000000000001
Time: 525000 | PC: 00000010 | Instr: 01095024 | ALU Result: 00000000 | LED: 0000000000000001
Time: 535000 | PC: 00000014 | Instr: 01095025 | ALU Result: 0000000f | LED: 0000000000000001
Time: 545000 | PC: 00000018 | Instr: 0109502a | ALU Result: 00000001 | LED: 0000000000000001
Time: 555000 | PC: 0000001c | Instr: 200a000f | ALU Result: 0000000f | LED: 0000000000000001
Time: 565000 | PC: 00000020 | Instr: ac0a0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 575000 | PC: 00000024 | Instr: 8c0b0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 585000 | PC: 00000028 | Instr: 11090002 | ALU Result: fffffffb | LED: 0000000000000001
Time: 595000 | PC: 0000002c | Instr: 08000000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 605000 | PC: 00000000 | Instr: 20080005 | ALU Result: 00000005 | LED: 0000000000000001
Time: 615000 | PC: 00000004 | Instr: 2009000a | ALU Result: 0000000a | LED: 0000000000000001
Time: 625000 | PC: 00000008 | Instr: 01095020 | ALU Result: 0000000f | LED: 0000000000000001
Time: 635000 | PC: 0000000c | Instr: 01095022 | ALU Result: fffffffb | LED: 0000000000000001
Time: 645000 | PC: 00000010 | Instr: 01095024 | ALU Result: 00000000 | LED: 0000000000000001
Time: 655000 | PC: 00000014 | Instr: 01095025 | ALU Result: 0000000f | LED: 0000000000000001
Time: 665000 | PC: 00000018 | Instr: 0109502a | ALU Result: 00000001 | LED: 0000000000000001
Time: 675000 | PC: 0000001c | Instr: 200a000f | ALU Result: 0000000f | LED: 0000000000000001
Time: 685000 | PC: 00000020 | Instr: ac0a0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 695000 | PC: 00000024 | Instr: 8c0b0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 705000 | PC: 00000028 | Instr: 11090002 | ALU Result: fffffffb | LED: 0000000000000001
Time: 715000 | PC: 0000002c | Instr: 08000000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 725000 | PC: 00000000 | Instr: 20080005 | ALU Result: 00000005 | LED: 0000000000000001
Time: 735000 | PC: 00000004 | Instr: 2009000a | ALU Result: 0000000a | LED: 0000000000000001
Time: 745000 | PC: 00000008 | Instr: 01095020 | ALU Result: 0000000f | LED: 0000000000000001
Time: 755000 | PC: 0000000c | Instr: 01095022 | ALU Result: fffffffb | LED: 0000000000000001
Time: 765000 | PC: 00000010 | Instr: 01095024 | ALU Result: 00000000 | LED: 0000000000000001
Time: 775000 | PC: 00000014 | Instr: 01095025 | ALU Result: 0000000f | LED: 0000000000000001
Time: 785000 | PC: 00000018 | Instr: 0109502a | ALU Result: 00000001 | LED: 0000000000000001
Time: 795000 | PC: 0000001c | Instr: 200a000f | ALU Result: 0000000f | LED: 0000000000000001
Time: 805000 | PC: 00000020 | Instr: ac0a0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 815000 | PC: 00000024 | Instr: 8c0b0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 825000 | PC: 00000028 | Instr: 11090002 | ALU Result: fffffffb | LED: 0000000000000001
Time: 835000 | PC: 0000002c | Instr: 08000000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 845000 | PC: 00000000 | Instr: 20080005 | ALU Result: 00000005 | LED: 0000000000000001
Time: 855000 | PC: 00000004 | Instr: 2009000a | ALU Result: 0000000a | LED: 0000000000000001
Time: 865000 | PC: 00000008 | Instr: 01095020 | ALU Result: 0000000f | LED: 0000000000000001
Time: 875000 | PC: 0000000c | Instr: 01095022 | ALU Result: fffffffb | LED: 0000000000000001
Time: 885000 | PC: 00000010 | Instr: 01095024 | ALU Result: 00000000 | LED: 0000000000000001
Time: 895000 | PC: 00000014 | Instr: 01095025 | ALU Result: 0000000f | LED: 0000000000000001
Time: 905000 | PC: 00000018 | Instr: 0109502a | ALU Result: 00000001 | LED: 0000000000000001
Time: 915000 | PC: 0000001c | Instr: 200a000f | ALU Result: 0000000f | LED: 0000000000000001
Time: 925000 | PC: 00000020 | Instr: ac0a0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 935000 | PC: 00000024 | Instr: 8c0b0000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 945000 | PC: 00000028 | Instr: 11090002 | ALU Result: fffffffb | LED: 0000000000000001
Time: 955000 | PC: 0000002c | Instr: 08000000 | ALU Result: 00000000 | LED: 0000000000000001
Time: 965000 | PC: 00000000 | Instr: 20080005 | ALU Result: 00000005 | LED: 0000000000000001
Time: 975000 | PC: 00000004 | Instr: 2009000a | ALU Result: 0000000a | LED: 0000000000000001
Time: 985000 | PC: 00000008 | Instr: 01095020 | ALU Result: 0000000f | LED: 0000000000000001
Time: 995000 | PC: 0000000c | Instr: 01095022 | ALU Result: fffffffb | LED: 0000000000000001
